animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,stimulus,trials,n_mouse_go,n_gt_go,n_ofc_go,p_mouse_go,p_gt_go,p_ofc_go,error_trials_only,n_trials,cohen_mouse_acx,p_agree_mouse_acx,cohen_mouse_ofc,p_agree_mouse_ofc,cohen_acx_ofc,p_agree_acx_ofc,cohen_gt_acx,p_agree_gt_acx,cohen_gt_ofc,p_agree_gt_ofc,cohen_gt_mouse,p_agree_gt_mouse,var_agree_acx_ofc,fleiss_mouse_acx_ofc,fleiss_mouse_acx_ofc_gt,n_acx_go,p_acx_go
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.1738949211927685,38.0,3.0,0.0,,0.07894736842105263,0.0,,False,,,,,,,,,,,,,,,,,26.0,0.6842105263157895
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.27741160893374,38.0,5.0,0.0,,0.13157894736842105,0.0,,False,,,,,,,,,,,,,,,,,27.0,0.7105263157894737
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.390056630435602,37.0,0.0,0.0,,0.0,0.0,,False,,,,,,,,,,,,,,,,,29.0,0.7837837837837838
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.64602248543222,19.0,7.0,19.0,,0.3684210526315789,1.0,,False,,,,,,,,,,,,,,,,,13.0,0.6842105263157895
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.7911724409886975,19.0,12.0,19.0,,0.631578947368421,1.0,,False,,,,,,,,,,,,,,,,,11.0,0.5789473684210527
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.9491220452647464,18.0,12.0,18.0,,0.6666666666666666,1.0,,False,,,,,,,,,,,,,,,,,13.0,0.7222222222222222
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,2.121,18.0,15.0,18.0,,0.8333333333333334,1.0,,False,,,,,,,,,,,,,,,,,12.0,0.6666666666666666
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,0.7070000000000001,12.0,0.0,12.0,,0.0,1.0,,True,,,,,,,,,,,,,,,,,7.0,0.5833333333333334
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,0.769344846128565,13.0,0.0,13.0,,0.0,1.0,,True,,,,,,,,,,,,,,,,,7.0,0.5384615384615384
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,0.837187400657122,9.0,0.0,9.0,,0.0,1.0,,True,,,,,,,,,,,,,,,,,6.0,0.6666666666666666
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,0.9110124638462896,12.0,0.0,12.0,,0.0,1.0,,True,,,,,,,,,,,,,,,,,10.0,0.8333333333333334
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.07876684098121,9.0,9.0,0.0,,1.0,0.0,,True,,,,,,,,,,,,,,,,,7.0,0.7777777777777778
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.27741160893374,5.0,5.0,0.0,,1.0,0.0,,True,,,,,,,,,,,,,,,,,2.0,0.4
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.64602248543222,12.0,0.0,12.0,,0.0,1.0,,True,,,,,,,,,,,,,,,,,7.0,0.5833333333333334
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.7911724409886975,7.0,0.0,7.0,,0.0,1.0,,True,,,,,,,,,,,,,,,,,4.0,0.5714285714285714
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.9491220452647464,6.0,0.0,6.0,,0.0,1.0,,True,,,,,,,,,,,,,,,,,4.0,0.6666666666666666
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,0.7070000000000001,,,,,,,,,11.0,0.10810810810810803,0.45454545454545453,-0.1956521739130434,0.09090909090909091,0.11999999999999988,0.6363636363636364,0.0,0.6363636363636364,0.0,0.8181818181818182,0.0,0.09090909090909091,0.23140495867768596,-0.21323529411764716,-0.1785714285714287,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,0.769344846128565,,,,,,,,,11.0,-0.1702127659574468,0.5454545454545454,-0.18461538461538463,0.36363636363636365,0.2903225806451612,0.6363636363636364,0.0,0.36363636363636365,0.0,0.5454545454545454,0.0,0.09090909090909091,0.23140495867768596,-0.090909090909091,-0.1515151515151516,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,0.837187400657122,,,,,,,,,11.0,0.0350877192982455,0.5454545454545454,0.15384615384615383,0.45454545454545453,0.12698412698412698,0.5454545454545454,0.0,0.45454545454545453,0.0,0.7272727272727273,0.0,0.18181818181818182,0.24793388429752067,0.02222222222222244,-0.06552706552706573,,
