animal,date,session_type,session_dprime,area,n_units,n_trials,n_folds,accuracy,precision,recall,roc_auc,accuracy_gt,precision_gt,recall_gt,roc_auc_gt,acx_beta,ofc_beta,beta_diff,beta_diff_ci_low,beta_diff_ci_high,histology_fallback
G5A3,17/7,(Novice) 2b Categorization,,OFC,29,299,5,0.6287625418060201,0.45384615384615384,0.5959595959595959,0.678939393939394,0.5117056856187291,0.5117647058823529,0.58,0.502841163310962,0.20964086518107605,-0.059988269130001284,0.2696291343110773,-0.04817217291362332,0.6691050415020423,False
G5A3,31/7/2025,(1b Expert) 1b Categorization,,ACx,210,112,5,0.6875,0.6666666666666666,0.6538461538461539,0.7592948717948718,0.7767857142857143,0.7818181818181819,0.7678571428571429,0.8185586734693877,,,,,,False
G5A3,31/7/2025,(1b Expert) 2b Categorization,,ACx,234,181,5,0.8066298342541437,0.3225806451612903,0.4166666666666667,0.7407112526539278,0.4861878453038674,0.48936170212765956,0.5054945054945055,0.4686202686202686,-0.15569127419995232,0.22754442405645953,-0.38323569825641185,-1.1480244976955425,0.2783656506022604,False
G5A3,31/7/2025,(1b Expert) 2b Categorization,,OFC,18,181,5,0.6353591160220995,0.19117647058823528,0.5416666666666666,0.6162420382165605,0.580110497237569,0.5824175824175825,0.5824175824175825,0.6111111111111112,-0.15569127419995232,0.22754442405645953,-0.38323569825641185,-1.1480244976955425,0.2783656506022604,False
G6A5,30/9/2025,(1b Expert) 1b Categorization,,ACx,257,328,5,0.7591463414634146,0.3023255813953488,0.5777777777777777,0.7533961523360816,0.5,0.5,0.5548780487804879,0.5174375371802499,,,,,,True
G7A1,28/10/2025,(Novice) FRA,,OFC,26,350,5,0.4857142857142857,0.20253164556962025,0.37209302325581395,0.39697850599013385,0.48,0.47586206896551725,0.3942857142857143,0.47227755102040814,,,,,,False
G7A1,12/11/2025,(1b Expert) 1b Categorization,,ACx,48,400,5,0.58,0.7933884297520661,0.6193548387096774,0.5705376344086022,0.4375,0.44339622641509435,0.46766169154228854,0.44473611840296007,0.010566402318678492,0.031438558951677006,-0.020872156632998514,-0.31197078883245133,0.3286607014318646,True
G7A1,12/11/2025,(1b Expert) 1b Categorization,,OFC,65,400,5,0.555,0.7704918032786885,0.6064516129032258,0.49745519713261654,0.5425,0.5428571428571428,0.5671641791044776,0.5472886822170554,0.010566402318678492,0.031438558951677006,-0.020872156632998514,-0.31197078883245133,0.3286607014318646,True
G7A1,12/11/2025,(1b Expert) 2b Categorization,,ACx,20,74,5,0.6216216216216216,0.09090909090909091,0.2,0.5171874999999999,0.5405405405405406,0.5625,0.47368421052631576,0.5416666666666667,0.9376404461931452,0.17557950766579325,0.762060938527352,-0.3765259164511995,1.7990812082179863,True
G7A1,12/11/2025,(1b Expert) 2b Categorization,,OFC,57,74,5,0.6081081081081081,0.0,0.0,0.29687500000000006,0.4189189189189189,0.42424242424242425,0.3684210526315789,0.43713450292397665,0.9376404461931452,0.17557950766579325,0.762060938527352,-0.3765259164511995,1.7990812082179863,True
G7A2,28/10/2025,(Novice) 2b Categorization,,ACx,415,350,5,0.58,0.46153846153846156,0.5333333333333333,0.5973643410852713,0.6371428571428571,0.6428571428571429,0.6171428571428571,0.6980897959183673,0.3059588786425075,-0.1039861850527224,0.40994506369522987,0.051970635086115574,0.7688120775792734,False
G7A2,28/10/2025,(Novice) 2b Categorization,,OFC,25,350,5,0.48857142857142855,0.3735632183908046,0.48148148148148145,0.4741774332472007,0.4742857142857143,0.4742857142857143,0.4742857142857143,0.48793469387755106,0.3059588786425075,-0.1039861850527224,0.40994506369522987,0.051970635086115574,0.7688120775792734,False
G7A3,28/10/2025,(Novice) 2b Categorization,,OFC,134,350,5,0.7628571428571429,0.7150837988826816,0.8,0.82625,0.52,0.5193370165745856,0.5371428571428571,0.5108897959183674,,,,,,False
