animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,stimulus,trials,n_mouse_go,n_gt_go,n_ofc_go,p_mouse_go,p_gt_go,p_ofc_go,error_trials_only,agreement_state,n_trials,n_behavior_match,p_behavior_match,odds_behavior_match,n_acx_go,p_acx_go
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,,,,,,,,,,All trials,181.0,73.0,0.40331491712707185,0.6759259259259259,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,,,,,,,,,,Models agree (pooled),103.0,22.0,0.21359223300970873,0.2716049382716049,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,,,,,,,,,,Both Go,84.0,6.0,0.07142857142857142,0.07692307692307691,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,,,,,,,,,,Both No-Go,19.0,16.0,0.8421052631578947,5.333333333333331,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,,,,,,,,,,Models disagree,78.0,51.0,0.6538461538461539,1.888888888888889,,
G3A3,20/2/2025,(2b Expert) 2b Categorization,,,True,,,,,,,,,,All trials,301.0,196.0,0.6511627906976745,1.8666666666666671,,
G3A3,20/2/2025,(2b Expert) 2b Categorization,,,True,,,,,,,,,,Models agree (pooled),237.0,141.0,0.5949367088607594,1.4687499999999998,,
G3A3,20/2/2025,(2b Expert) 2b Categorization,,,True,,,,,,,,,,Both Go,237.0,141.0,0.5949367088607594,1.4687499999999998,,
G3A3,20/2/2025,(2b Expert) 2b Categorization,,,True,,,,,,,,,,Models disagree,64.0,55.0,0.859375,6.111111111111111,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,True,,,,,,,,,,All trials,500.0,294.0,0.588,1.4271844660194173,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,True,,,,,,,,,,Models agree (pooled),274.0,175.0,0.6386861313868614,1.7676767676767682,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,True,,,,,,,,,,Both Go,231.0,161.0,0.696969696969697,2.3000000000000007,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,True,,,,,,,,,,Both No-Go,43.0,14.0,0.32558139534883723,0.48275862068965525,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,True,,,,,,,,,,Models disagree,226.0,119.0,0.5265486725663717,1.1121495327102806,,
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,True,,,,,,,,,,All trials,334.0,196.0,0.5868263473053892,1.4202898550724636,,
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,True,,,,,,,,,,Models agree (pooled),190.0,119.0,0.6263157894736842,1.6760563380281686,,
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,True,,,,,,,,,,Both Go,121.0,97.0,0.8016528925619835,4.041666666666667,,
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,True,,,,,,,,,,Both No-Go,69.0,22.0,0.3188405797101449,0.4680851063829787,,
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,True,,,,,,,,,,Models disagree,144.0,77.0,0.5347222222222222,1.1492537313432836,,
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,0.7070000000000001,32.0,31.0,32.0,,0.96875,1.0,,False,,,,,,12.0,0.375
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,0.769344846128565,32.0,30.0,32.0,,0.9375,1.0,,False,,,,,,20.0,0.625
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,0.837187400657122,31.0,29.0,31.0,,0.9354838709677419,1.0,,False,,,,,,16.0,0.5161290322580645
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,0.9110124638462896,31.0,28.0,31.0,,0.9032258064516129,1.0,,False,,,,,,15.0,0.4838709677419355
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,1.07876684098121,62.0,54.0,0.0,,0.8709677419354839,0.0,,False,,,,,,25.0,0.4032258064516129
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,1.1738949211927685,63.0,53.0,0.0,,0.8412698412698413,0.0,,False,,,,,,35.0,0.5555555555555556
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,1.27741160893374,63.0,43.0,0.0,,0.6825396825396826,0.0,,False,,,,,,34.0,0.5396825396825397
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,1.390056630435602,62.0,35.0,0.0,,0.5645161290322581,0.0,,False,,,,,,31.0,0.5
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,1.64602248543222,31.0,27.0,31.0,,0.8709677419354839,1.0,,False,,,,,,11.0,0.3548387096774194
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,1.7911724409886975,31.0,30.0,31.0,,0.967741935483871,1.0,,False,,,,,,10.0,0.3225806451612903
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,1.9491220452647464,31.0,29.0,31.0,,0.9354838709677419,1.0,,False,,,,,,20.0,0.6451612903225806
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,2.121,31.0,29.0,31.0,,0.9354838709677419,1.0,,False,,,,,,21.0,0.6774193548387096
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,1.07876684098121,54.0,54.0,0.0,,1.0,0.0,,True,,,,,,20.0,0.37037037037037035
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,1.1738949211927685,53.0,53.0,0.0,,1.0,0.0,,True,,,,,,26.0,0.49056603773584906
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,1.27741160893374,43.0,43.0,0.0,,1.0,0.0,,True,,,,,,23.0,0.5348837209302325
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,1.390056630435602,35.0,35.0,0.0,,1.0,0.0,,True,,,,,,19.0,0.5428571428571428
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,0.7070000000000001,32.0,17.0,32.0,,0.53125,1.0,,False,,,,,,17.0,0.53125
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,0.769344846128565,32.0,20.0,32.0,,0.625,1.0,,False,,,,,,22.0,0.6875
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,0.837187400657122,31.0,19.0,31.0,,0.6129032258064516,1.0,,False,,,,,,19.0,0.6129032258064516
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,0.9110124638462896,31.0,16.0,31.0,,0.5161290322580645,1.0,,False,,,,,,18.0,0.5806451612903226
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,1.07876684098121,62.0,42.0,0.0,,0.6774193548387096,0.0,,False,,,,,,39.0,0.6290322580645161
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,1.1738949211927685,63.0,42.0,0.0,,0.6666666666666666,0.0,,False,,,,,,41.0,0.6507936507936508
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,1.27741160893374,63.0,39.0,0.0,,0.6190476190476191,0.0,,False,,,,,,40.0,0.6349206349206349
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,1.390056630435602,62.0,42.0,0.0,,0.6774193548387096,0.0,,False,,,,,,41.0,0.6612903225806451
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,1.64602248543222,31.0,22.0,31.0,,0.7096774193548387,1.0,,False,,,,,,12.0,0.3870967741935484
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,1.7911724409886975,31.0,28.0,31.0,,0.9032258064516129,1.0,,False,,,,,,22.0,0.7096774193548387
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,1.9491220452647464,31.0,29.0,31.0,,0.9354838709677419,1.0,,False,,,,,,14.0,0.45161290322580644
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,2.121,31.0,28.0,31.0,,0.9032258064516129,1.0,,False,,,,,,20.0,0.6451612903225806
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,0.7070000000000001,15.0,0.0,15.0,,0.0,1.0,,True,,,,,,10.0,0.6666666666666666
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,0.769344846128565,12.0,0.0,12.0,,0.0,1.0,,True,,,,,,10.0,0.8333333333333334
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,0.837187400657122,12.0,0.0,12.0,,0.0,1.0,,True,,,,,,7.0,0.5833333333333334
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,0.9110124638462896,15.0,0.0,15.0,,0.0,1.0,,True,,,,,,9.0,0.6
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,1.07876684098121,42.0,42.0,0.0,,1.0,0.0,,True,,,,,,26.0,0.6190476190476191
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,1.1738949211927685,42.0,42.0,0.0,,1.0,0.0,,True,,,,,,25.0,0.5952380952380952
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,1.27741160893374,39.0,39.0,0.0,,1.0,0.0,,True,,,,,,23.0,0.5897435897435898
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,1.390056630435602,42.0,42.0,0.0,,1.0,0.0,,True,,,,,,26.0,0.6190476190476191
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,1.64602248543222,9.0,0.0,9.0,,0.0,1.0,,True,,,,,,3.0,0.3333333333333333
G5A1,16/7,(Novice) 1b Categorization,,,True,,,,,,,,,,All trials,150.0,67.0,0.44666666666666666,0.8072289156626505,,
G5A1,16/7,(Novice) 1b Categorization,,,True,,,,,,,,,,Models agree (pooled),88.0,35.0,0.3977272727272727,0.660377358490566,,
