animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,expression,n_condition,n_go,n_nogo,p_go,p_nogo
G4A4,27/3/2025,(Novice) 2b Categorization,,,True,P(Mouse=Go | ACx=Go),177,65,112,0.3672316384180791,0.6327683615819208
G4A4,27/3/2025,(Novice) 2b Categorization,,,True,P(GroundTruth=Go | ACx=No-Go),113,66,47,0.584070796460177,0.415929203539823
G4A4,27/3/2025,(Novice) 2b Categorization,,,True,P(GroundTruth=Go | ACx=Go),177,79,98,0.4463276836158192,0.5536723163841808
G4A4,27/3/2025,(Novice) 2b Categorization,,,True,P(Mouse=Go | OFC=No-Go),106,37,69,0.3490566037735849,0.6509433962264151
G4A4,27/3/2025,(Novice) 2b Categorization,,,True,P(Mouse=Go | OFC=Go),184,71,113,0.3858695652173913,0.6141304347826086
G4A4,27/3/2025,(Novice) 2b Categorization,,,True,P(GroundTruth=Go | OFC=No-Go),106,56,50,0.5283018867924528,0.4716981132075472
G4A4,27/3/2025,(Novice) 2b Categorization,,,True,P(GroundTruth=Go | OFC=Go),184,89,95,0.483695652173913,0.5163043478260869
G5A1,16/7,(Novice) 2b Categorization,,,True,P(Mouse=Go | OFC=No-Go),31,13,18,0.41935483870967744,0.5806451612903225
G5A1,16/7,(Novice) 2b Categorization,,,True,P(Mouse=Go | OFC=Go),51,18,33,0.35294117647058826,0.6470588235294117
G5A1,16/7,(Novice) 2b Categorization,,,True,P(GroundTruth=Go | OFC=No-Go),31,18,13,0.5806451612903226,0.4193548387096774
G5A1,16/7,(Novice) 2b Categorization,,,True,P(GroundTruth=Go | OFC=Go),51,23,28,0.45098039215686275,0.5490196078431373
G5A3,17/7,(Novice) 2b Categorization,,,False,P(Mouse=Go | ACx=No-Go),102,38,64,0.37254901960784315,0.6274509803921569
G5A3,17/7,(Novice) 2b Categorization,,,False,P(Mouse=Go | ACx=Go),197,61,136,0.3096446700507614,0.6903553299492386
G5A3,17/7,(Novice) 2b Categorization,,,False,P(GroundTruth=Go | ACx=No-Go),102,55,47,0.5392156862745098,0.4607843137254902
G5A3,17/7,(Novice) 2b Categorization,,,False,P(GroundTruth=Go | ACx=Go),197,95,102,0.48223350253807107,0.5177664974619289
G5A3,17/7,(Novice) 2b Categorization,,,False,P(Mouse=Go | OFC=No-Go),108,39,69,0.3611111111111111,0.6388888888888888
