animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,condition,acx_pred,ofc_pred,n_condition,n_mouse_go,n_mouse_nogo,p_mouse_go,p_mouse_nogo,n_gt_go,n_gt_nogo,p_gt_go,p_gt_nogo,stimulus,trials,n_acx_go,p_acx_go,error_trials_only,n_ofc_go,p_ofc_go
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,7.0,,0.3684210526315789,,19.0,,1.0,,1.64602248543222,19.0,13.0,0.6842105263157895,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,12.0,,0.631578947368421,,19.0,,1.0,,1.7911724409886975,19.0,11.0,0.5789473684210527,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,12.0,,0.6666666666666666,,18.0,,1.0,,1.9491220452647464,18.0,13.0,0.7222222222222222,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,15.0,,0.8333333333333334,,18.0,,1.0,,2.121,18.0,12.0,0.6666666666666666,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,0.0,,0.0,,12.0,,1.0,,0.7070000000000001,12.0,7.0,0.5833333333333334,True,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,0.0,,0.0,,13.0,,1.0,,0.769344846128565,13.0,7.0,0.5384615384615384,True,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,0.0,,0.0,,9.0,,1.0,,0.837187400657122,9.0,6.0,0.6666666666666666,True,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,0.0,,0.0,,12.0,,1.0,,0.9110124638462896,12.0,10.0,0.8333333333333334,True,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,9.0,,1.0,,0.0,,0.0,,1.07876684098121,9.0,7.0,0.7777777777777778,True,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,5.0,,1.0,,0.0,,0.0,,1.27741160893374,5.0,2.0,0.4,True,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,0.0,,0.0,,12.0,,1.0,,1.64602248543222,12.0,7.0,0.5833333333333334,True,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,0.0,,0.0,,7.0,,1.0,,1.7911724409886975,7.0,4.0,0.5714285714285714,True,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,0.0,,0.0,,6.0,,1.0,,1.9491220452647464,6.0,4.0,0.6666666666666666,True,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,"ACx=Go, OFC=Go",1.0,1.0,80.0,14.0,66.0,0.175,0.825,38.0,42.0,0.475,0.525,,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,"ACx=Go, OFC=No-Go",1.0,0.0,44.0,5.0,39.0,0.11363636363636363,0.8863636363636364,21.0,23.0,0.4772727272727273,0.5227272727272727,,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,"ACx=No-Go, OFC=Go",0.0,1.0,36.0,3.0,33.0,0.08333333333333333,0.9166666666666666,17.0,19.0,0.4722222222222222,0.5277777777777778,,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,"ACx=No-Go, OFC=No-Go",0.0,0.0,21.0,2.0,19.0,0.09523809523809523,0.9047619047619048,15.0,6.0,0.7142857142857143,0.2857142857142857,,,,,,,
G3A3,20/2/2025,(2b Expert) 2b Categorization,,,False,"ACx=Go, OFC=Go",1.0,1.0,237.0,141.0,96.0,0.5949367088607594,0.4050632911392405,166.0,71.0,0.70042194092827,0.29957805907172996,,,,,,,
G3A3,20/2/2025,(2b Expert) 2b Categorization,,,False,"ACx=No-Go, OFC=Go",0.0,1.0,64.0,9.0,55.0,0.140625,0.859375,22.0,42.0,0.34375,0.65625,,,,,,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,False,"ACx=Go, OFC=Go",1.0,1.0,231.0,161.0,70.0,0.696969696969697,0.30303030303030304,139.0,92.0,0.6017316017316018,0.39826839826839827,,,,,,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,False,"ACx=Go, OFC=No-Go",1.0,0.0,53.0,40.0,13.0,0.7547169811320755,0.24528301886792453,35.0,18.0,0.660377358490566,0.33962264150943394,,,,,,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,False,"ACx=No-Go, OFC=Go",0.0,1.0,173.0,94.0,79.0,0.5433526011560693,0.45664739884393063,60.0,113.0,0.3468208092485549,0.653179190751445,,,,,,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,False,"ACx=No-Go, OFC=No-Go",0.0,0.0,43.0,29.0,14.0,0.6744186046511628,0.32558139534883723,16.0,27.0,0.37209302325581395,0.627906976744186,,,,,,,
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,False,"ACx=Go, OFC=Go",1.0,1.0,121.0,97.0,24.0,0.8016528925619835,0.19834710743801653,55.0,66.0,0.45454545454545453,0.5454545454545454,,,,,,,
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,False,"ACx=Go, OFC=No-Go",1.0,0.0,65.0,49.0,16.0,0.7538461538461538,0.24615384615384617,31.0,34.0,0.47692307692307695,0.5230769230769231,,,,,,,
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,False,"ACx=No-Go, OFC=Go",0.0,1.0,79.0,51.0,28.0,0.6455696202531646,0.35443037974683544,43.0,36.0,0.5443037974683544,0.45569620253164556,,,,,,,
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,False,"ACx=No-Go, OFC=No-Go",0.0,0.0,69.0,47.0,22.0,0.6811594202898551,0.3188405797101449,37.0,32.0,0.5362318840579711,0.463768115942029,,,,,,,
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,31.0,,0.96875,,32.0,,1.0,,0.7070000000000001,32.0,12.0,0.375,False,,
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,30.0,,0.9375,,32.0,,1.0,,0.769344846128565,32.0,20.0,0.625,False,,
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,29.0,,0.9354838709677419,,31.0,,1.0,,0.837187400657122,31.0,16.0,0.5161290322580645,False,,
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,28.0,,0.9032258064516129,,31.0,,1.0,,0.9110124638462896,31.0,15.0,0.4838709677419355,False,,
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,54.0,,0.8709677419354839,,0.0,,0.0,,1.07876684098121,62.0,25.0,0.4032258064516129,False,,
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,53.0,,0.8412698412698413,,0.0,,0.0,,1.1738949211927685,63.0,35.0,0.5555555555555556,False,,
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,43.0,,0.6825396825396826,,0.0,,0.0,,1.27741160893374,63.0,34.0,0.5396825396825397,False,,
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,35.0,,0.5645161290322581,,0.0,,0.0,,1.390056630435602,62.0,31.0,0.5,False,,
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,27.0,,0.8709677419354839,,31.0,,1.0,,1.64602248543222,31.0,11.0,0.3548387096774194,False,,
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,30.0,,0.967741935483871,,31.0,,1.0,,1.7911724409886975,31.0,10.0,0.3225806451612903,False,,
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,29.0,,0.9354838709677419,,31.0,,1.0,,1.9491220452647464,31.0,20.0,0.6451612903225806,False,,
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,29.0,,0.9354838709677419,,31.0,,1.0,,2.121,31.0,21.0,0.6774193548387096,False,,
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,54.0,,1.0,,0.0,,0.0,,1.07876684098121,54.0,20.0,0.37037037037037035,True,,
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,53.0,,1.0,,0.0,,0.0,,1.1738949211927685,53.0,26.0,0.49056603773584906,True,,
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,43.0,,1.0,,0.0,,0.0,,1.27741160893374,43.0,23.0,0.5348837209302325,True,,
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,35.0,,1.0,,0.0,,0.0,,1.390056630435602,35.0,19.0,0.5428571428571428,True,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,17.0,,0.53125,,32.0,,1.0,,0.7070000000000001,32.0,17.0,0.53125,False,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,20.0,,0.625,,32.0,,1.0,,0.769344846128565,32.0,22.0,0.6875,False,,
