animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,agreement_state,n_trials,n_behavior_match,p_behavior_match,odds_behavior_match,stimulus,trials,n_mouse_go,n_gt_go,n_acx_go,p_mouse_go,p_gt_go,p_acx_go,error_trials_only,n_ofc_go,p_ofc_go
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,,1.27741160893374,11.0,5.0,0.0,,0.45454545454545453,0.0,,False,8.0,0.7272727272727273
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,,1.390056630435602,10.0,3.0,0.0,,0.3,0.0,,False,7.0,0.7
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,,1.64602248543222,10.0,5.0,10.0,,0.5,1.0,,False,4.0,0.4
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,,1.7911724409886975,11.0,6.0,11.0,,0.5454545454545454,1.0,,False,6.0,0.5454545454545454
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,,1.9491220452647464,10.0,4.0,10.0,,0.4,1.0,,False,6.0,0.6
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,,2.121,10.0,2.0,10.0,,0.2,1.0,,False,7.0,0.7
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,,1.1738949211927685,5.0,5.0,0.0,,1.0,0.0,,True,3.0,0.6
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,,1.27741160893374,5.0,5.0,0.0,,1.0,0.0,,True,3.0,0.6
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,,1.64602248543222,5.0,0.0,5.0,,0.0,1.0,,True,3.0,0.6
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,,1.7911724409886975,5.0,0.0,5.0,,0.0,1.0,,True,4.0,0.8
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,,1.9491220452647464,6.0,0.0,6.0,,0.0,1.0,,True,3.0,0.5
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,,2.121,8.0,0.0,8.0,,0.0,1.0,,True,5.0,0.625
G5A3,17/7,(Novice) 2b Categorization,,,False,All trials,299.0,126.0,0.4214046822742475,0.7283236994219653,,,,,,,,,,,
G5A3,17/7,(Novice) 2b Categorization,,,False,Models agree (pooled),139.0,49.0,0.35251798561151076,0.5444444444444444,,,,,,,,,,,
G5A3,17/7,(Novice) 2b Categorization,,,False,Both Go,106.0,30.0,0.2830188679245283,0.3947368421052631,,,,,,,,,,,
G5A3,17/7,(Novice) 2b Categorization,,,False,Both No-Go,33.0,19.0,0.5757575757575758,1.3571428571428574,,,,,,,,,,,
G5A3,17/7,(Novice) 2b Categorization,,,False,Models disagree,160.0,77.0,0.48125,0.927710843373494,,,,,,,,,,,
G7A2,28/10/2025,(Novice) 2b Categorization,,,False,All trials,350.0,199.0,0.5685714285714286,1.317880794701987,,,,,,,,,,,
G7A2,28/10/2025,(Novice) 2b Categorization,,,False,Models agree (pooled),187.0,98.0,0.5240641711229946,1.101123595505618,,,,,,,,,,,
G7A2,28/10/2025,(Novice) 2b Categorization,,,False,Both Go,114.0,54.0,0.47368421052631576,0.8999999999999998,,,,,,,,,,,
G7A2,28/10/2025,(Novice) 2b Categorization,,,False,Both No-Go,73.0,44.0,0.6027397260273972,1.5172413793103445,,,,,,,,,,,
G7A2,28/10/2025,(Novice) 2b Categorization,,,False,Models disagree,163.0,101.0,0.6196319018404908,1.629032258064516,,,,,,,,,,,
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,,,,,,0.7070000000000001,30.0,14.0,30.0,,0.4666666666666667,1.0,,False,15.0,0.5
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,,,,,,0.7890990840419705,29.0,13.0,29.0,,0.4482758620689655,1.0,,False,18.0,0.6206896551724138
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,,,,,,0.8807317743081708,29.0,14.0,29.0,,0.4827586206896552,1.0,,False,17.0,0.5862068965517241
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,,,,,,1.2245599209511964,58.0,26.0,0.0,,0.4482758620689655,0.0,,False,36.0,0.6206896551724138
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,,,,,,1.3667597057667562,59.0,28.0,0.0,,0.4745762711864407,0.0,,False,31.0,0.5254237288135594
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,,,,,,1.5254721809420373,58.0,26.0,0.0,,0.4482758620689655,0.0,,False,34.0,0.5862068965517241
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,,,,,,1.7026148524934492,29.0,10.0,29.0,,0.3448275862068966,1.0,,False,17.0,0.5862068965517241
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,,,,,,1.9003278933222565,29.0,14.0,29.0,,0.4827586206896552,1.0,,False,14.0,0.4827586206896552
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,,,,,,2.121,29.0,15.0,29.0,,0.5172413793103449,1.0,,False,17.0,0.5862068965517241
