animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,stimulus,trials,n_behavior_match,area,p_behavior_match,odds_behavior_match,models_disagree_only,n_mouse_go,n_gt_go,n_acx_go,p_mouse_go,p_gt_go,p_acx_go,error_trials_only,n_ofc_go,p_ofc_go
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,False,1.390056630435602,19,13.0,OFC,0.6842105263157895,2.166666666666667,True,,,,,,,,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,False,1.64602248543222,10,7.0,OFC,0.7,2.333333333333333,True,,,,,,,,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,False,1.7911724409886975,10,8.0,OFC,0.8,4.000000000000001,True,,,,,,,,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,False,1.9491220452647464,9,5.0,OFC,0.5555555555555556,1.2500000000000002,True,,,,,,,,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,False,2.121,10,8.0,OFC,0.8,4.000000000000001,True,,,,,,,,,
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,False,0.7070000000000001,10,1.0,ACx,0.1,0.11111111111111112,True,,,,,,,,,
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,False,0.769344846128565,13,8.0,ACx,0.6153846153846154,1.6000000000000003,True,,,,,,,,,
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,False,0.837187400657122,12,7.0,ACx,0.5833333333333334,1.4000000000000001,True,,,,,,,,,
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,False,0.9110124638462896,8,5.0,ACx,0.625,1.6666666666666667,True,,,,,,,,,
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,False,1.07876684098121,17,12.0,ACx,0.7058823529411765,2.4000000000000004,True,,,,,,,,,
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,False,1.1738949211927685,14,8.0,ACx,0.5714285714285714,1.3333333333333333,True,,,,,,,,,
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,False,1.27741160893374,20,12.0,ACx,0.6,1.4999999999999998,True,,,,,,,,,
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,False,1.390056630435602,19,12.0,ACx,0.631578947368421,1.714285714285714,True,,,,,,,,,
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,False,1.64602248543222,8,3.0,ACx,0.375,0.6,True,,,,,,,,,
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,False,1.7911724409886975,7,5.0,ACx,0.7142857142857143,2.5,True,,,,,,,,,
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,False,1.9491220452647464,5,0.0,ACx,0.0,,True,,,,,,,,,
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,False,2.121,11,4.0,ACx,0.36363636363636365,0.5714285714285715,True,,,,,,,,,
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,False,0.7070000000000001,10,9.0,OFC,0.9,9.000000000000002,True,,,,,,,,,
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,False,0.769344846128565,13,5.0,OFC,0.38461538461538464,0.625,True,,,,,,,,,
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,False,0.837187400657122,12,5.0,OFC,0.4166666666666667,0.7142857142857144,True,,,,,,,,,
