animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,n_trials,cohen_mouse_acx,p_agree_mouse_acx,cohen_mouse_ofc,p_agree_mouse_ofc,cohen_acx_ofc,p_agree_acx_ofc,cohen_gt_acx,p_agree_gt_acx,cohen_gt_ofc,p_agree_gt_ofc,cohen_gt_mouse,p_agree_gt_mouse,var_agree_acx_ofc,fleiss_mouse_acx_ofc,fleiss_mouse_acx_ofc_gt,stimulus,trials,n_mouse_go,n_gt_go,n_acx_go,p_mouse_go,p_gt_go,p_acx_go,error_trials_only,n_ofc_go,p_ofc_go
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,,,,,,,,,,,,,2.121,8.0,0.0,8.0,,0.0,1.0,,True,5.0,0.625
G5A3,17/7,(Novice) 2b Categorization,,,False,299.0,-0.05580389035168287,0.4214046822742475,-0.0450388229631024,0.4414715719063545,-0.13612615180013307,0.46488294314381273,-0.04447131532984018,0.4782608695652174,-0.07096485336915152,0.46488294314381273,0.04455766351589905,0.5217391304347826,0.2487667923177593,-0.1176400227265931,-0.07070316693505094,,,,,,,,,,,
G7A2,28/10/2025,(Novice) 2b Categorization,,,False,350.0,0.12918108419838534,0.5685714285714286,-0.021662313719465386,0.45714285714285713,0.07867962921094279,0.5342857142857143,0.32000000000000006,0.66,0.040000000000000036,0.52,0.19999999999999996,0.6,0.24882448979591837,0.039996516994165954,0.1133315238058308,,,,,,,,,,,
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,,,,,,,,,,,,,,,,,0.7070000000000001,30.0,14.0,30.0,,0.4666666666666667,1.0,,False,15.0,0.5
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,,,,,,,,,,,,,,,,,0.7890990840419705,29.0,13.0,29.0,,0.4482758620689655,1.0,,False,18.0,0.6206896551724138
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,,,,,,,,,,,,,,,,,0.8807317743081708,29.0,14.0,29.0,,0.4827586206896552,1.0,,False,17.0,0.5862068965517241
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,,,,,,,,,,,,,,,,,1.2245599209511964,58.0,26.0,0.0,,0.4482758620689655,0.0,,False,36.0,0.6206896551724138
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,,,,,,,,,,,,,,,,,1.3667597057667562,59.0,28.0,0.0,,0.4745762711864407,0.0,,False,31.0,0.5254237288135594
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,,,,,,,,,,,,,,,,,1.5254721809420373,58.0,26.0,0.0,,0.4482758620689655,0.0,,False,34.0,0.5862068965517241
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,,,,,,,,,,,,,,,,,1.7026148524934492,29.0,10.0,29.0,,0.3448275862068966,1.0,,False,17.0,0.5862068965517241
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,,,,,,,,,,,,,,,,,1.9003278933222565,29.0,14.0,29.0,,0.4827586206896552,1.0,,False,14.0,0.4827586206896552
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,,,,,,,,,,,,,,,,,2.121,29.0,15.0,29.0,,0.5172413793103449,1.0,,False,17.0,0.5862068965517241
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,,,,,,,,,,,,,,,,,0.7070000000000001,16.0,0.0,16.0,,0.0,1.0,,True,8.0,0.5
