animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,stimulus,trials,n_mouse_go,n_gt_go,n_ofc_go,p_mouse_go,p_gt_go,p_ofc_go,error_trials_only,n_trials,cohen_mouse_acx,p_agree_mouse_acx,cohen_mouse_ofc,p_agree_mouse_ofc,cohen_acx_ofc,p_agree_acx_ofc,cohen_gt_acx,p_agree_gt_acx,cohen_gt_ofc,p_agree_gt_ofc,cohen_gt_mouse,p_agree_gt_mouse,fleiss_mouse_acx_ofc,fleiss_mouse_acx_ofc_gt,n_acx_go,p_acx_go
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,1.07876684098121,54.0,54.0,0.0,,1.0,0.0,,True,,,,,,,,,,,,,,,,20.0,0.37037037037037035
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,1.1738949211927685,53.0,53.0,0.0,,1.0,0.0,,True,,,,,,,,,,,,,,,,26.0,0.49056603773584906
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,1.27741160893374,43.0,43.0,0.0,,1.0,0.0,,True,,,,,,,,,,,,,,,,23.0,0.5348837209302325
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,1.390056630435602,35.0,35.0,0.0,,1.0,0.0,,True,,,,,,,,,,,,,,,,19.0,0.5428571428571428
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,0.7070000000000001,32.0,17.0,32.0,,0.53125,1.0,,False,,,,,,,,,,,,,,,,17.0,0.53125
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,0.769344846128565,32.0,20.0,32.0,,0.625,1.0,,False,,,,,,,,,,,,,,,,22.0,0.6875
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,0.837187400657122,31.0,19.0,31.0,,0.6129032258064516,1.0,,False,,,,,,,,,,,,,,,,19.0,0.6129032258064516
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,0.9110124638462896,31.0,16.0,31.0,,0.5161290322580645,1.0,,False,,,,,,,,,,,,,,,,18.0,0.5806451612903226
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,1.07876684098121,62.0,42.0,0.0,,0.6774193548387096,0.0,,False,,,,,,,,,,,,,,,,39.0,0.6290322580645161
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,1.1738949211927685,63.0,42.0,0.0,,0.6666666666666666,0.0,,False,,,,,,,,,,,,,,,,41.0,0.6507936507936508
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,1.27741160893374,63.0,39.0,0.0,,0.6190476190476191,0.0,,False,,,,,,,,,,,,,,,,40.0,0.6349206349206349
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,1.390056630435602,62.0,42.0,0.0,,0.6774193548387096,0.0,,False,,,,,,,,,,,,,,,,41.0,0.6612903225806451
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,1.64602248543222,31.0,22.0,31.0,,0.7096774193548387,1.0,,False,,,,,,,,,,,,,,,,12.0,0.3870967741935484
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,1.7911724409886975,31.0,28.0,31.0,,0.9032258064516129,1.0,,False,,,,,,,,,,,,,,,,22.0,0.7096774193548387
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,1.9491220452647464,31.0,29.0,31.0,,0.9354838709677419,1.0,,False,,,,,,,,,,,,,,,,14.0,0.45161290322580644
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,2.121,31.0,28.0,31.0,,0.9032258064516129,1.0,,False,,,,,,,,,,,,,,,,20.0,0.6451612903225806
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,0.7070000000000001,15.0,0.0,15.0,,0.0,1.0,,True,,,,,,,,,,,,,,,,10.0,0.6666666666666666
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,0.769344846128565,12.0,0.0,12.0,,0.0,1.0,,True,,,,,,,,,,,,,,,,10.0,0.8333333333333334
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,0.837187400657122,12.0,0.0,12.0,,0.0,1.0,,True,,,,,,,,,,,,,,,,7.0,0.5833333333333334
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,0.9110124638462896,15.0,0.0,15.0,,0.0,1.0,,True,,,,,,,,,,,,,,,,9.0,0.6
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,1.07876684098121,42.0,42.0,0.0,,1.0,0.0,,True,,,,,,,,,,,,,,,,26.0,0.6190476190476191
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,1.1738949211927685,42.0,42.0,0.0,,1.0,0.0,,True,,,,,,,,,,,,,,,,25.0,0.5952380952380952
