Checkbox,Animal,Date,Coordinates Craniotomy / Area,Depth craniotomy ,Angle,spike glx file,Recording Assessment ,Session Type,behavioral file,DI,Performance Evaluation during recording ,age ,Acx good units,OFC good units,sex,borders_table,Notes,current_dir
FALSE,G4A5,27/3/2025,vlOFC (imec1) / Acx (imec0),3850/3600,76/90,G4A5_novice_2b_4t_g1,Noisy,(Novice) 2b Categorization,Z:\Shared\Amichai\Data\G4A5\2025-03-27\20-24-00_1\behavior\A5_GNG_20250327_125602.mat,Red,Good,P74,"good: 0, MUA: 24, non-somatic: 3","good: 0, MUA: 41, non-somatic: 12",male,,Syren in the middle - the pool got dried,Z:\Shared\Amichai\Data\pipeline_output\catgt_G4A5_novice_2b_4t_g0
FALSE,G5A1,16/7,vlOFC (imec1) ,3700,76,G5A1_naive_2b_4t_high_and_low_2_g0,Medium,(Novice) 2b Categorization,Z:\Shared\Amichai\Data\G5A1\2025-07-16\12-43-30_1\ephys\catgt_G5A1_naive_2b_4t_high_and_low_2_g0\G5A1_GNG_20250716_124325.mat,Blue,Good,?,"good: 0, MUA: 9, non-somatic: 7","good: 74, MUA: 3, non-somatic: 22",male,,"Need to understand what is going on here, I think the first is one boundary and the seconds are 2 boundaries",Z:\Shared\Amichai\Data\G5A1\2025-07-16\12-43-30_1\ephys\catgt_G5A1_naive_2b_4t_high_and_low_2_g0
FALSE,G5A1,16/7,vlOFC (imec1) ,3700,76,G5A1_naive_2b_4t_high_and_low_g0,Medium,(Novice) 2b Categorization,Z:\Shared\Amichai\Data\G5A1\2025-07-16\12-18-00_1\ephys\catgt_G5A1_naive_2b_4t_high_and_low_g0\G5A1_GNG_20250716_122021.mat,Blue,Good,?,"good: 34, MUA: 30, non-somatic: 40","good: 11, MUA: 84, non-somatic: 61",male,,"Need to understand what is going on here, I think the first is one boundary and the seconds are 2 boundaries",Z:\Shared\Amichai\Data\pipeline_output\catgt_G5A1_naive_2b_4t_high_and_low_g0
FALSE,G5A2,16/7,vlOFC (imec1) / Acx (imec0),3700/2800,77/90,G5A2_naive_2b_4t_nn,Good,(Novice) 2b Categorization,Z:\Shared\Amichai\Data\G5A2\2025-07-16\14-18-00\behavior\G5A2_GNG_20250716_133950.mat,Blue,Bad,?,"good: 108, MUA: 7, non-somatic: 38","good: 271, MUA: 40, non-somatic: 72",male,,,Z:\Shared\Amichai\Data\G5A2\2025-07-16\14-18-00\ephys\catgt_G5A2_naive_2b_4t_nn_g0
FALSE,G5A3,17/7,vlOFC (imec1) / Acx (imec0),3700/3000,77/90,G5A3_naive_true,Good,(Novice) 2b Categorization,Z:\Shared\Amichai\Data\G5A3\2025-07-17\13-01-30_1\ephys\catgt_G5A3_naive_true_g0\G5A3_GNG_20250717_130237.mat,Blue,Good,?,"good: 98, MUA: 6, non-somatic: 47","good: 117, MUA: 12, non-somatic: 51",male,,movment noise,Z:\Shared\Amichai\Data\G5A3\2025-07-17\13-01-30_1\ephys\catgt_G5A3_naive_true_g0
FALSE,G7A1,28/10/2025,vlOFC (imec1),3040,66,G7A1_novice_2b_4t_g0,Good,(Novice) 2b Categorization,Z:\Shared\Amichai\Data\G7A1\2025-10-28\09-54-00\behavior\G7A1_GNG_20251028_095524.mat,Blue,Good,P58,"good: 3, MUA: 22, non-somatic: 14","good: 27, MUA: 282, non-somatic: 34",male,,,Z:\Shared\Amichai\Data\pipeline_output\catgt_G7A1_novice_2b_4t_g0
FALSE,G7A2,28/10/2025,vlOFC (imec1) / Acx (imec0),3700/3300,75/90,G7A2_novice_2b_4t_g1,Good,(Novice) 2b Categorization,Z:\Shared\Amichai\Data\G7A2\2025-10-28\12-12-00_1\ephys\catgt_G7A2_novice_2b_4t_g1\G7A2_GNG_20251028_121253.mat,Blue,Good,P58,"good: 281, MUA: 502, non-somatic: 55","good: 6, MUA: 41, non-somatic: 28",male,,,Z:\Shared\Amichai\Data\G7A2\2025-10-28\12-12-00_1\ephys\catgt_G7A2_novice_2b_4t_g1
FALSE,G7A3,28/10/2025,vlOFC (imec1) / Acx (imec0),2800/3300,73/90,G7A3_novice_2b_4t_g0,Good/Noisy,(Novice) 2b Categorization,Z:\Shared\Amichai\Data\G7A3\2025-10-28\14-54-00_1\ephys\catgt_G7A3_novice_2b_4t_g0\G7A3_GNG_20251028_145427.mat,Blue,Good,P58,"good: 0, MUA: 139, non-somatic: 117","good: 69, MUA: 263, non-somatic: 79",male,,,Z:\Shared\Amichai\Data\G7A3\2025-10-28\14-54-00_1\ephys\catgt_G7A3_novice_2b_4t_g0
FALSE,G5A1,16/7,vlOFC (imec1) ,3700,76,G5A1_naive_FRA_g0,Medium,(Novice) FRA,Z:\Shared\Amichai\Data\G5A1\2025-07-16\12-54-00\behavior\G5A1_FRA_20250716_125647.mat,Blue,Good,?,"good: 1, MUA: 112, non-somatic: 50","good: 61, MUA: 3, non-somatic: 19",male,,,Z:\Shared\Amichai\Data\G5A1\2025-07-16\12-54-00\ephys\catgt_G5A1_naive_FRA_g0
FALSE,G5A2,16/7,vlOFC (imec1) / Acx (imec0),3700/2800,77/90,G5A2_naive_FRA,Good,(Novice) FRA,Z:\Shared\Amichai\Data\G5A2\2025-07-16\14-36-00\ephys\catgt_G5A2_naive_FRA_g0\G5A2_GNG_20250716_133950.mat,Blue,Passive,?,"good: 114, MUA: 4, non-somatic: 36","good: 277, MUA: 49, non-somatic: 94",male,,,Z:\Shared\Amichai\Data\G5A2\2025-07-16\14-36-00\ephys\catgt_G5A2_naive_FRA_g0
FALSE,G5A3,17/7,vlOFC (imec1) / Acx (imec0),3700/3000,77/90,G5A3_naive_FRA,Good,(Novice) FRA,Z:\Shared\Amichai\Data\G5A3\2025-07-17\13-42-00_1\ephys\catgt_G5A3_naive_FRA_g0\G5A3_FRA_20250717_134221.mat,Blue,Passive,?,"good: 44, MUA: 46, non-somatic: 25","good: 32, MUA: 42, non-somatic: 20",male,,movment noise,Z:\Shared\Amichai\Data\G5A3\2025-07-17\13-42-00_1\ephys\catgt_G5A3_naive_FRA_g0
FALSE,G7A1,28/10/2025,vlOFC (imec1),3040,66,G7A1_novice_FRA_g0,Good,(Novice) FRA,Z:\Shared\Amichai\Data\G7A1\2025-10-28\10-54-00\ephys\catgt_G7A1_novice_FRA_g0\G7A1_FRA_20251028_105414.mat,Blue,Good,P58,"good: 3, MUA: 17, non-somatic: 16","good: 61, MUA: 199, non-somatic: 102",male,,,Z:\Shared\Amichai\Data\G7A1\2025-10-28\10-54-00\ephys\catgt_G7A1_novice_FRA_g0
FALSE,G7A2,28/10/2025,vlOFC (imec1) / Acx (imec0),3700/3300,75/90,G7A2_novice_FRA_g0,Good,(Novice) FRA,Z:\Shared\Amichai\Data\G7A2\2025-10-28\13-00-00_1\ephys\catgt_G7A2_novice_FRA_g0\G7A2_FRA_20251028_130111.mat,Blue,Good,P58,"good: 327, MUA: 431, non-somatic: 136","good: 12, MUA: 66, non-somatic: 24",male,,,Z:\Shared\Amichai\Data\G7A2\2025-10-28\13-00-00_1\ephys\catgt_G7A2_novice_FRA_g0
FALSE,G7A3,28/10/2025,vlOFC (imec1) / Acx (imec0),2800/3300,73/90,G7A3_novice_FRA_g0,Good/Noisy,(Novice) FRA,Z:\Shared\Amichai\Data\G7A3\2025-10-28\15-45-00\behavior\G7A3_FRA_20251028_154636.mat,Blue,Good,P58,"good: 0, MUA: 103, non-somatic: 74","good: 104, MUA: 178, non-somatic: 99",male,,,Z:\Shared\Amichai\Data\G7A3\2025-10-28\15-45-00\ephys\catgt_G7A3_novice_FRA_g0
FALSE,G1A4,16/12/2024,OFC,2000,,G1_A4_REC1_g0,Noisy,,Z:\mizrahi-lab\Shared\Amichai\Behavior\data\Group_1\G1A4\GNG\Session Data\G1A4_GNG_20241216_150037.mat,Red,Poor ,p85,,,male,,,
FALSE,G2A1,22/01/2025,OFC + Acx,2000 / 1900,,G2A1_rec1_g0,Noisy,,Z:\Shared\Amichai\Behavior\data\Group_2\G2A1\GNG\Session Data\G2A1_GNG_20250122_141654.mat,Yellow,Anesthetized,p87,,,male,, - Speaker noise,
FALSE,G2A2,23/01/2025,OFC + ACס,2000/2000,,G2A2_rec1_new3_g0,Noisy,,Z:/Shared/Amichai/Behavior/data/Group_2\G2A2\GNG\Session Data\G2A2_GNG_20250123_125911.mat,Yellow,Passive,p88,,,male,, Speaker noise Forgot to enable recordings for the first 23 minutes,
